city,total_orders,total_revenue,average_order_value
South Victorton,2,495.86,247.93
Morrisstad,2,899.19,449.595
Brockchester,1,284.12,284.12
New Cassandra,1,496.89,496.89
Leebury,3,568.7,189.566666666667
Danielfort,5,1167.4,233.48
Guyton,1,226.71,226.71
West Teresaton,1,146.02,146.02
Gregoryshire,3,461.23,153.743333333333
Port George,3,463.94,154.646666666667
Zamorashire,1,140.02,140.02
West Caitlin,3,417.68,139.226666666667
Cortezbury,2,937.18,468.59
Chenchester,2,355.13,177.565
Port Robertmouth,5,2022.59,404.518
Port Alishamouth,1,490.32,490.32
North Williamstad,1,390.72,390.72
East Kennethshire,1,207.19,207.19
Andreafurt,4,1400.36,350.09
Walterburgh,1,457.49,457.49
Mullinsmouth,2,422.31,211.155
Kellifurt,1,49.21,49.21
Burkestad,1,130.87,130.87
Haysshire,1,198.21,198.21
Howellborough,1,72.3,72.3
Dominicmouth,1,198.92,198.92
Susanport,2,550.39,275.195
North Brookemouth,1,398.38,398.38
West Jeremyborough,1,209.53,209.53
Kathleenview,3,773.31,257.77
Hubbardfort,1,366.17,366.17
West Patrickfort,1,141.44,141.44
Starktown,1,295.26,295.26
Port Jeanetteview,1,128.96,128.96
Lake Tony,2,248.52,124.26
Deantown,2,380.13,190.065
Barbaraland,2,563.85,281.925
Mistyhaven,1,311.91,311.91
Estesmouth,1,285.12,285.12
Dennisstad,1,198.68,198.68
East Patriciatown,1,430.18,430.18
South Harryville,1,283.2,283.2
Kariberg,1,193.68,193.68
New Yolandatown,1,69.67,69.67
South Michaelmouth,5,1531.55,306.31
Connorchester,2,901.56,450.78
South Jillian,1,351.04,351.04
Nicholsmouth,3,479.03,159.676666666667
Heatherport,1,217.97,217.97
Wigginstown,1,121.26,121.26
Kerryport,1,166.1,166.1
East Krystal,1,395.91,395.91
South Tiffanymouth,1,339.8,339.8
South Kennethfurt,1,94.84,94.84
Josemouth,4,1019.7,254.925
Weaverview,1,356.79,356.79
New Aprilmouth,2,350.17,175.085
South Kimberlyhaven,1,324.06,324.06
Lake Sylviafurt,1,377.94,377.94
Paigemouth,1,205.63,205.63
Stevensonmouth,1,201.97,201.97
New Michellehaven,2,382.49,191.245
South Christinafurt,1,48.89,48.89
Thorntonview,1,235.04,235.04
Catherinestad,2,407.26,203.63
Craigville,3,363.66,121.22
Lake Michelehaven,1,482.76,482.76
Alexandriaburgh,1,392.02,392.02
New Chelseaton,1,86.45,86.45
Lake Kristina,2,280.17,140.085
South Whitneyville,1,458.3,458.3
Kimtown,1,455.87,455.87
Clairefort,1,222.24,222.24
Walterstown,1,86.1,86.1
Hardinshire,2,111.08,55.54
East Cristian,1,494.84,494.84
Loweview,1,493.33,493.33
Katieside,1,367.76,367.76
Justinborough,1,456.08,456.08
West Lindastad,1,216.29,216.29
Wallerberg,1,153.61,153.61
Lake Emilyport,1,489.45,489.45
Cooperbury,1,246.06,246.06
New Ryanbury,1,184.32,184.32
Washingtonfort,1,407.55,407.55
East Philipshire,1,197.04,197.04
Ashleebury,1,122.84,122.84
New Tylershire,1,17.6,17.6
Mcintyrebury,1,133.28,133.28
Wardburgh,1,62.05,62.05
New Tanyaland,1,457.47,457.47
New Cynthiaville,1,170.18,170.18
Port Keithport,1,272.58,272.58
Lake Karlaburgh,1,394.07,394.07
South Robertside,2,716.05,358.025
Cindyborough,2,258.5,129.25
Johnnyville,1,405.82,405.82
Port Justinburgh,1,52.77,52.77
Morrisonville,2,473.08,236.54
East Tasha,1,218.0,218.0
Port Kelsey,1,339.87,339.87
East Andrewfurt,2,189.76,94.88
New Michaelstad,1,353.22,353.22
Kyletown,2,532.56,266.28
West Stanleyfurt,1,271.26,271.26
Port Marytown,2,598.0,299.0
West Amandachester,1,85.98,85.98
South Danielborough,1,129.74,129.74
Lake Brittanyport,1,76.79,76.79
Frederickside,1,463.72,463.72
Lisaview,7,1919.39,274.198571428571
Wongfurt,1,86.67,86.67
Chaseside,2,460.56,230.28
Lake Anneburgh,1,391.75,391.75
Jameshaven,8,2020.79,252.59875
Boydville,2,467.32,233.66
West Joe,3,623.28,207.76
East Coryville,1,279.09,279.09
Wardborough,3,653.71,217.903333333333
West Gerald,1,107.67,107.67
North Jamesbury,7,1476.31,210.901428571429
East Loganview,1,473.78,473.78
Port Jon,3,1106.05,368.683333333333
East Ashley,18,4184.71,232.483888888889
East Keith,5,1672.17,334.434
Geraldton,1,24.49,24.49
North Karina,1,491.55,491.55
Heidibury,2,519.82,259.91
Huffberg,1,115.05,115.05
North Katherineberg,1,196.35,196.35
Terrymouth,4,1033.42,258.355
East Teresastad,1,363.37,363.37
Elaineberg,1,410.33,410.33
New Lisa,23,4641.84,201.819130434783
South Craigview,2,710.32,355.16
North Sandra,7,1330.05,190.007142857143
Morrowfort,1,408.7,408.7
South Davidfort,3,756.01,252.003333333333
Christopherville,5,890.14,178.028
Buchananmouth,1,227.94,227.94
Adamshaven,3,442.32,147.44
Kellyview,2,733.39,366.695
West Laurenborough,1,191.27,191.27
Port Judy,2,234.05,117.025
Joshuaborough,5,1173.29,234.658
Scottside,8,1868.55,233.56875
Jodihaven,1,130.16,130.16
Freemanhaven,2,650.59,325.295
Shaneland,3,1184.0,394.666666666667
Juarezchester,2,781.03,390.515
Port Williamville,1,448.78,448.78
Frazierfort,1,132.1,132.1
Victoriaberg,3,584.46,194.82
Kempmouth,1,193.57,193.57
Dixonland,1,237.08,237.08
South Janetfurt,1,457.17,457.17
New Daisy,2,349.57,174.785
Lake Johnnyton,1,33.9,33.9
Pricehaven,1,312.2,312.2
Harrishaven,2,491.46,245.73
New Bernard,2,744.24,372.12
Weaverton,1,323.41,323.41
New Natasha,4,649.94,162.485
Anitaport,1,448.23,448.23
Briannaton,2,539.69,269.845
Duncanton,2,452.42,226.21
Harringtonport,1,14.87,14.87
North Thomasberg,1,428.35,428.35
Richardberg,4,1011.55,252.8875
Barajasside,1,22.33,22.33
Solisfurt,1,459.99,459.99
Kendraville,4,640.33,160.0825
Aaronview,2,490.2,245.1
West Brendaburgh,1,459.25,459.25
Kristinside,2,271.03,135.515
Lake Pamelaville,1,289.49,289.49
East Patriciaview,2,403.86,201.93
Lorettahaven,1,345.48,345.48
Moralesberg,2,257.25,128.625
North Abigail,2,948.21,474.105
Kennethton,1,179.21,179.21
Munozchester,2,447.3,223.65
South Jamesville,2,444.35,222.175
Holthaven,2,775.65,387.825
Port Jennifermouth,4,801.64,200.41
Bradleyborough,1,171.29,171.29
Madisonville,1,374.77,374.77
Chadview,2,356.09,178.045
Wareland,1,61.18,61.18
Annport,2,399.73,199.865
North Brett,1,302.82,302.82
Burnettborough,2,453.8,226.9
South Kyleland,1,494.78,494.78
West Emilyville,1,145.02,145.02
Donovanside,1,210.7,210.7
Adkinsfurt,1,62.82,62.82
Port Jasmine,3,1051.35,350.45
Mendezbury,1,478.62,478.62
Copelandmouth,1,393.07,393.07
Gatesberg,1,453.91,453.91
Lake Sherryhaven,1,228.35,228.35
Mcguireville,1,301.92,301.92
New Marissa,1,408.66,408.66
South Michaelland,2,634.23,317.115
East Victoriastad,1,90.7,90.7
North Paulbury,2,243.75,121.875
Jonathanfurt,1,355.11,355.11
Christensenstad,1,151.74,151.74
East Kellyberg,1,475.0,475.0
New Christine,5,971.13,194.226
East Glendaview,1,109.24,109.24
South Bernardchester,1,22.42,22.42
East Annaview,1,212.25,212.25
Baldwinberg,1,109.72,109.72
West Jacobside,1,62.57,62.57
Tinaville,2,581.07,290.535
North Matthewton,1,26.01,26.01
South Stevenmouth,1,389.6,389.6
Lake Brittanychester,1,253.26,253.26
South Stephanieside,1,22.5,22.5
Lake Jessicafort,2,427.47,213.735
Allenberg,2,424.24,212.12
Porterburgh,2,514.12,257.06
West Michaelfort,3,614.22,204.74
Robinside,3,903.58,301.193333333333
Lake Bridgetville,1,466.22,466.22
East Kellyport,2,795.84,397.92
Jonport,1,29.19,29.19
Faulknerhaven,1,399.79,399.79
Port Paulburgh,1,78.15,78.15
North Marcus,3,957.64,319.213333333333
East Ellenstad,1,340.73,340.73
New Kristy,2,363.48,181.74
Lake Josephmouth,1,460.58,460.58
Muellerborough,2,439.05,219.525
South Shelleyfort,1,33.02,33.02
New Jimmy,4,630.85,157.7125
New Craigmouth,1,441.97,441.97
South Rachaelburgh,1,78.86,78.86
Eatonshire,1,482.99,482.99
North Jamesfurt,2,506.03,253.015
East Jacktown,1,288.06,288.06
New Jonport,1,308.32,308.32
Mannberg,1,78.93,78.93
Reginaldshire,1,45.06,45.06
Port Barbarastad,1,443.75,443.75
Myersside,2,361.39,180.695
Wagnerfurt,1,190.05,190.05
Floydmouth,1,333.07,333.07
Harperview,2,316.46,158.23
Buckleyfurt,1,382.46,382.46
Pachecoland,2,335.79,167.895
New Ericaberg,1,441.94,441.94
Lake Scotthaven,1,416.14,416.14
Lake Monicabury,1,391.52,391.52
Connieland,1,201.52,201.52
Gomezburgh,2,394.84,197.42
Lake Darlene,1,107.05,107.05
South Alan,3,1007.38,335.793333333333
Hoganview,1,194.45,194.45
East Anthonyburgh,1,240.34,240.34
Meyersland,1,282.04,282.04
Lake Deniseburgh,1,143.29,143.29
Port Michaelton,2,532.83,266.415
Janiceberg,1,427.73,427.73
Lake Paigeborough,1,241.37,241.37
West Javier,1,350.18,350.18
Roseton,1,107.41,107.41
Dyershire,1,236.82,236.82
Reedview,1,335.01,335.01
Douglaston,1,155.44,155.44
Lake Karenton,1,407.28,407.28
East Melissaland,1,156.67,156.67
East Meganport,1,48.37,48.37
East Meganfurt,1,266.03,266.03
South Lesliestad,1,199.2,199.2
North Nicholasfurt,1,346.89,346.89
Stephenton,1,472.97,472.97
South Dylan,1,357.23,357.23
Lake Raymondfurt,2,345.78,172.89
New Shawnton,1,93.08,93.08
West Timothy,9,2600.77,288.974444444444
Port Cherylshire,1,322.44,322.44
West Alanland,1,426.91,426.91
Lake Anthonyfort,2,532.42,266.21
North Heatherside,1,269.87,269.87
Emilymouth,7,2126.07,303.724285714286
South Edward,5,1478.28,295.656
New Emily,7,1390.07,198.581428571429
North Cheryl,6,1309.38,218.23
Johnsonmouth,28,7211.91,257.568214285714
Michellefurt,6,1119.91,186.651666666667
North Alicia,1,83.78,83.78
Port Jessicaville,2,453.52,226.76
Erikfurt,3,667.85,222.616666666667
Port Brandimouth,1,243.8,243.8
Christopherstad,7,1806.37,258.052857142857
Kimberlyhaven,10,2384.11,238.411
Westburgh,2,591.64,295.82
Aliciaside,2,365.07,182.535
North Jessica,11,2835.66,257.787272727273
Leslieborough,1,322.37,322.37
Lake William,18,4674.7,259.705555555556
Washingtonburgh,1,150.55,150.55
New Sheryl,1,245.36,245.36
Lake Laurenview,1,466.56,466.56
North Kurt,3,606.58,202.193333333333
South Shirleyfurt,1,475.5,475.5
Antonioberg,1,191.76,191.76
West Ryan,10,2840.16,284.016
Carrshire,1,233.32,233.32
Carrollland,2,454.15,227.075
Hartmanmouth,2,457.18,228.59
South Jay,2,478.55,239.275
Jillbury,1,359.46,359.46
West Melanie,5,1481.47,296.294
Jennyfort,1,132.18,132.18
Lambville,2,577.09,288.545
West Tanner,1,169.02,169.02
South Brandon,8,2059.8,257.475
North Jeremy,5,686.62,137.324
Paulamouth,1,143.37,143.37
Port Edwardville,1,39.0,39.0
New Kristinaborough,1,382.59,382.59
Kristinchester,3,599.13,199.71
Brownbury,6,1704.49,284.081666666667
Leonardburgh,2,81.41,40.705
Lake Jeffery,3,396.93,132.31
Brooksport,3,985.38,328.46
Chandlerfort,2,849.32,424.66
North Chadstad,3,808.57,269.523333333333
Lake Oliviastad,1,452.21,452.21
Shannonberg,3,538.49,179.496666666667
Francoport,1,74.77,74.77
East Misty,2,608.43,304.215
Teresashire,3,409.28,136.426666666667
Riveraburgh,3,944.34,314.78
Port Christineburgh,1,435.62,435.62
Franklinbury,1,156.18,156.18
Robertsshire,3,737.06,245.686666666667
Briggsbury,2,501.96,250.98
Port Kristaburgh,1,255.09,255.09
East Ethanview,1,278.46,278.46
West Yvonneview,1,94.74,94.74
South Raven,2,536.05,268.025
North Sarafort,2,931.4,465.7
North Sandraberg,1,191.11,191.11
Port Jameshaven,3,1044.95,348.316666666667
West Shaun,2,840.43,420.215
Keithborough,3,454.64,151.546666666667
Port Tommychester,1,380.83,380.83
Sanchezland,3,1132.26,377.42
Davenportland,2,222.92,111.46
South Craigburgh,1,153.06,153.06
East Aaronmouth,2,623.9,311.95
New Shelbyport,1,453.73,453.73
Carrilloburgh,1,287.73,287.73
Jimmyfurt,1,463.43,463.43
North Jorgeshire,1,225.8,225.8
Huffshire,1,72.74,72.74
North Tarashire,2,864.55,432.275
Chenburgh,2,613.89,306.945
West Bianca,2,565.91,282.955
Port Donaldville,1,114.83,114.83
Penningtonshire,1,375.38,375.38
South Jonathanmouth,1,441.73,441.73
Codyborough,1,416.77,416.77
North Curtis,2,476.78,238.39
Lake Amy,6,1069.9,178.316666666667
Snowside,1,358.88,358.88
Port Marc,2,506.08,253.04
Meyersstad,1,191.01,191.01
Sandersstad,2,711.91,355.955
West Timothymouth,1,475.76,475.76
West Margaret,4,1417.14,354.285
Gentryberg,1,112.83,112.83
Harmonview,2,944.11,472.055
Burgessfurt,1,250.94,250.94
Haroldstad,1,494.71,494.71
South Lisamouth,2,217.17,108.585
West Daisyside,1,389.69,389.69
West Adamview,1,335.34,335.34
Walkertown,1,114.23,114.23
Newmanmouth,1,302.13,302.13
East Aprilchester,1,459.05,459.05
Lake Frederickborough,1,138.24,138.24
New Angelicamouth,1,69.36,69.36
North Christymouth,2,308.47,154.235
Martinezshire,3,881.4,293.8
West Gloria,1,396.32,396.32
Rogermouth,2,737.75,368.875
Alexside,2,674.06,337.03
North Derrick,4,1347.16,336.79
Fletcherfort,1,153.55,153.55
East Kendraville,1,225.6,225.6
Salazarhaven,1,465.82,465.82
New Ericview,1,243.67,243.67
Lake Jasonmouth,3,963.77,321.256666666667
Arellanoberg,2,599.02,299.51
Rickystad,2,587.25,293.625
Chavezfurt,1,389.96,389.96
New Marie,1,492.97,492.97
South Robertton,2,784.63,392.315
East Dorothyhaven,1,54.12,54.12
Debrabury,2,522.18,261.09
Bentonberg,1,370.98,370.98
Jasonburgh,3,1126.27,375.423333333333
East Dianaside,1,217.82,217.82
Erikstad,2,345.57,172.785
South Leahtown,1,355.28,355.28
Lake Jenniferchester,1,361.89,361.89
Port Nicholechester,1,238.29,238.29
Juliatown,1,314.66,314.66
Charlottestad,1,299.06,299.06
Lake Aprilberg,1,489.26,489.26
South Markborough,1,483.35,483.35
South Michaelfort,2,380.81,190.405
Schroederhaven,1,409.95,409.95
Lake Josestad,1,366.9,366.9
Davidville,7,2089.11,298.444285714286
South Robinton,1,138.34,138.34
Vincentmouth,3,872.84,290.946666666667
Lake Williamton,1,481.44,481.44
Woodside,1,185.1,185.1
Benderborough,2,524.69,262.345
North Ethanton,1,215.4,215.4
Webbstad,1,372.71,372.71
Meghanside,1,255.17,255.17
West Michaelland,2,489.22,244.61
Dianafurt,3,178.8,59.6
Meyerburgh,1,499.9,499.9
West Margaretside,1,456.85,456.85
North Brettton,1,177.91,177.91
South Christophermouth,1,354.48,354.48
Griffinfort,1,237.59,237.59
Dickersonfort,1,223.38,223.38
West Jeanette,1,442.57,442.57
East Joeport,1,265.28,265.28
Kirstenfort,1,490.27,490.27
Oliviaburgh,2,703.62,351.81
Baldwinville,2,555.24,277.62
New Dwaynebury,1,130.37,130.37
Port Erinville,1,369.87,369.87
Odomhaven,1,291.37,291.37
Gonzalezfurt,2,194.04,97.02
West Ebony,1,430.02,430.02
Yangview,1,139.96,139.96
Owensport,2,88.44,44.22
Joanneberg,2,184.08,92.04
Port Pattyview,1,388.15,388.15
New Alexandriatown,1,439.02,439.02
South Maryburgh,1,439.68,439.68
Eddieside,2,221.25,110.625
Lake Andrea,3,380.78,126.926666666667
Lindabury,5,828.4,165.68
Lake Tyler,6,1338.34,223.056666666667
Robertshaven,4,1072.64,268.16
South Stephen,7,1842.98,263.282857142857
Kennedyborough,4,1524.25,381.0625
New Lindaton,1,27.94,27.94
East Ericchester,1,246.09,246.09
Lake Elizabethshire,2,256.94,128.47
Hunterfort,1,420.37,420.37
Thompsonchester,4,785.82,196.455
Antonioborough,2,465.73,232.865
Carrieland,2,496.53,248.265
North Amanda,14,3001.8,214.414285714286
Port Aliciaton,1,360.35,360.35
South Michellefurt,2,255.91,127.955
Macdonaldstad,1,462.96,462.96
North Francisco,1,47.25,47.25
East Thomasmouth,1,358.4,358.4
West Tonyaberg,2,412.44,206.22
Lindsayside,1,415.03,415.03
Evanfurt,1,438.82,438.82
Lake Kathleen,5,1280.13,256.026
Tatemouth,1,313.48,313.48
New Sarahfurt,2,433.17,216.585
Davidtown,17,4579.94,269.408235294118
Lake Marvin,2,431.27,215.635
South Brucetown,1,395.22,395.22
Melindaview,1,257.06,257.06
New Scott,7,1963.65,280.521428571429
Brandonton,2,780.46,390.23
North Danielberg,2,604.08,302.04
North Edwardside,2,578.24,289.12
Sharonton,1,335.67,335.67
Reneeside,1,199.75,199.75
Port Aaronborough,1,304.11,304.11
East Dana,1,11.58,11.58
Lake Crystal,7,2018.18,288.311428571429
Lake Debrafurt,1,33.19,33.19
North Christine,10,2407.6,240.76
South Andrewberg,4,888.35,222.0875
East Danielborough,1,414.56,414.56
Rittershire,2,727.39,363.695
South Willie,1,483.15,483.15
Elizabethside,4,834.56,208.64
Joelchester,1,36.85,36.85
Kristinborough,1,208.1,208.1
Olsenchester,1,351.44,351.44
Corychester,1,192.06,192.06
Cochranfurt,1,381.94,381.94
Lake Melissaborough,1,299.84,299.84
Port Loristad,1,370.81,370.81
Singletonstad,2,219.52,109.76
Mcguireborough,1,177.79,177.79
Tonyfort,1,216.13,216.13
Jodiport,1,344.04,344.04
North Denisefort,1,164.34,164.34
Pettyhaven,1,111.66,111.66
East Bradleybury,1,147.86,147.86
Wigginsport,1,352.45,352.45
Port Ericaport,1,36.34,36.34
Edwardberg,3,1212.03,404.01
East Teresa,4,1446.21,361.5525
Murrayburgh,2,517.52,258.76
North Elaine,2,280.53,140.265
North Jessicaside,1,322.06,322.06
New Chelseachester,1,24.87,24.87
West Nicoleland,1,19.82,19.82
West Cynthia,5,1260.7,252.14
East Crystalton,1,173.22,173.22
Lake Nicolemouth,4,837.72,209.43
Lake Melvin,1,136.61,136.61
North Erikmouth,1,192.65,192.65
Carrmouth,1,67.32,67.32
Lake Bruceborough,1,454.88,454.88
Anitaberg,1,181.16,181.16
West Jamesport,1,130.27,130.27
Malonefurt,1,119.42,119.42
North Luisland,1,386.42,386.42
Guzmanland,2,702.54,351.27
Robinsonchester,2,668.84,334.42
Boydton,2,200.7,100.35
North Josephville,1,226.3,226.3
Ricardoton,1,423.51,423.51
Caseyfort,1,439.77,439.77
Roseview,1,62.18,62.18
Palmerstad,2,126.38,63.19
Edwardfurt,2,693.85,346.925
Harveyfort,1,273.04,273.04
Port Isabella,1,498.82,498.82
Ibarraside,1,266.87,266.87
Burkehaven,1,26.14,26.14
West Melissaland,1,254.15,254.15
Burnschester,1,188.53,188.53
Samanthaton,4,669.78,167.445
North Kelsey,2,592.46,296.23
Trujilloborough,1,94.44,94.44
Port Sarahville,2,944.7,472.35
Lake Johnnyport,1,167.56,167.56
Shelbybury,1,197.88,197.88
Lake Teresabury,1,184.39,184.39
Rickyshire,1,186.51,186.51
West Staceyfort,1,425.64,425.64
Salasshire,2,603.42,301.71
Lunastad,1,222.14,222.14
Kaiserview,1,248.12,248.12
South Tonyachester,1,433.95,433.95
Port Steventon,1,75.9,75.9
Monroeburgh,1,191.0,191.0
Pattonmouth,1,89.25,89.25
Cheyennefort,1,375.88,375.88
Middletonhaven,2,459.2,229.6
Lawrencefurt,1,493.91,493.91
North Joshuaton,2,372.61,186.305
South Alex,1,21.37,21.37
West Phyllis,2,721.73,360.865
North Taylorbury,1,234.45,234.45
East Kimberlyborough,1,356.83,356.83
East Sarahmouth,1,418.45,418.45
Marcustown,1,453.19,453.19
Dudleyside,2,727.33,363.665
Lake Kimberlyland,1,89.44,89.44
Oliviaport,1,267.18,267.18
Kathleenfurt,2,185.3,92.65
West Cathyfurt,1,393.6,393.6
West Dawnfort,1,434.05,434.05
Tranhaven,2,830.31,415.155
North Stefaniechester,1,181.4,181.4
New Miranda,1,475.96,475.96
Hollyside,1,392.92,392.92
Benitezburgh,1,402.8,402.8
West Jenniferfort,3,1132.32,377.44
Ritterton,1,329.34,329.34
Galvanburgh,1,94.16,94.16
Gibbsfort,1,203.71,203.71
Masonshire,1,380.44,380.44
Lake Kevinstad,1,495.45,495.45
South Randyshire,1,468.29,468.29
Monicaville,1,51.1,51.1
South Kennethburgh,1,443.04,443.04
North Dominiquefort,1,367.7,367.7
Flemingmouth,1,326.46,326.46
Kristinhaven,2,420.94,210.47
Port Kaylastad,1,290.02,290.02
Reillyland,1,327.92,327.92
Port Calebfort,1,347.66,347.66
Wallberg,1,139.35,139.35
Lake Cassandrahaven,1,458.44,458.44
Lake Jenniferview,1,41.47,41.47
Caseyshire,2,204.98,102.49
Pattonview,1,473.96,473.96
Port Emmatown,1,150.54,150.54
Port Monicastad,1,418.02,418.02
Batesstad,1,156.6,156.6
East Kathrynside,1,240.31,240.31
East Wendyfurt,1,60.97,60.97
Karlhaven,1,392.76,392.76
New Misty,1,126.17,126.17
South Chadbury,1,248.94,248.94
Ricardochester,1,200.5,200.5
North Kennethtown,2,282.31,141.155
South Melaniemouth,1,189.01,189.01
Kerrybury,1,434.25,434.25
New Geraldport,1,479.13,479.13
East Trevorland,1,357.44,357.44
Justinport,1,391.24,391.24
Jeffersonville,1,280.28,280.28
Lake Brandonmouth,1,154.1,154.1
North Don,2,726.6,363.3
Lake Tonystad,1,295.99,295.99
West Grace,1,257.11,257.11
Zimmermanberg,1,470.43,470.43
Grimesstad,1,210.26,210.26
New Albertville,1,140.2,140.2
Herringhaven,1,55.33,55.33
Weaverburgh,1,379.2,379.2
Bushtown,1,290.12,290.12
Codyfort,1,422.22,422.22
East Dylanton,1,12.37,12.37
East Codymouth,1,330.05,330.05
Cunninghamside,1,219.42,219.42
Lowerytown,1,219.35,219.35
Wolfton,1,405.11,405.11
Mcmahonchester,1,91.89,91.89
West Sethborough,1,488.53,488.53
South Christystad,1,266.11,266.11
Alexiston,1,120.09,120.09
Lake Randall,1,335.02,335.02
Shawfurt,1,403.26,403.26
Cummingsmouth,1,55.3,55.3
Caldwellberg,1,184.06,184.06
Lake Aprilview,1,46.6,46.6
South Daniellemouth,1,480.44,480.44
East Allenborough,1,268.8,268.8
Port Henryside,1,162.89,162.89
South Mia,1,12.4,12.4
Philliphaven,3,858.46,286.153333333333
Lake Clairestad,1,395.63,395.63
East Cameronhaven,1,292.85,292.85
Lake Diane,5,1514.73,302.946
Rodriguezfort,3,695.54,231.846666666667
Lindseytown,1,364.97,364.97
Lisaside,5,1254.63,250.926
Nicholasstad,3,782.78,260.926666666667
Tracymouth,2,527.56,263.78
Katherinebury,3,869.9,289.966666666667
South Jenniferville,2,687.8,343.9
Hughesport,4,1196.95,299.2375
Lake Randallstad,1,482.23,482.23
Thomasview,8,2352.29,294.03625
North Jenniferport,2,514.15,257.075
East Catherine,5,1462.29,292.458
New Dylan,4,699.45,174.8625
Darrenfort,1,306.42,306.42
Port Christineport,2,608.49,304.245
Martinbury,9,3050.4,338.933333333333
Waynestad,1,173.52,173.52
Gomezberg,2,224.69,112.345
Taylorbury,6,1483.85,247.308333333333
South Garrett,4,1076.21,269.0525
Nathanville,2,681.93,340.965
Allenville,5,1271.86,254.372
West Donald,9,2565.56,285.062222222222
Patrickberg,3,161.89,53.9633333333333
Stevenchester,2,836.14,418.07
Gonzalezport,2,177.42,88.71
Walkerfort,4,1287.67,321.9175
Smithberg,13,2594.94,199.610769230769
East Kristinaport,2,660.61,330.305
Port Denisehaven,1,355.29,355.29
Jeffreyport,2,646.44,323.22
Barryfurt,1,23.83,23.83
North Christian,1,406.52,406.52
Pattersonchester,2,184.54,92.27
New Aaronland,2,649.17,324.585
Carrollfurt,1,172.28,172.28
New Lindashire,1,291.13,291.13
New Olivia,4,410.19,102.5475
Sandrahaven,5,1364.92,272.984
Ramirezhaven,1,308.81,308.81
New Amandaport,1,19.97,19.97
Wallaceshire,2,331.91,165.955
North Lucas,1,90.68,90.68
Danielport,9,2788.99,309.887777777778
Amyport,3,702.52,234.173333333333
Elizabethfort,8,1859.99,232.49875
North Roy,1,97.79,97.79
New Karenville,1,91.98,91.98
Melanieside,2,743.25,371.625
Stephensonberg,1,314.77,314.77
West Brandonstad,1,263.13,263.13
North Lisafurt,2,804.22,402.11
New Dustinstad,1,495.02,495.02
Perkinsstad,4,891.74,222.935
Alexandramouth,2,769.38,384.69
New Crystalbury,1,288.08,288.08
Marcstad,1,426.02,426.02
West Max,1,213.84,213.84
Port Courtney,2,617.17,308.585
West Jenniferland,1,167.84,167.84
South Carolyntown,1,475.19,475.19
Stevenview,7,1642.18,234.597142857143
South Michaelville,3,668.43,222.81
North Davidchester,3,680.16,226.72
East Alice,2,844.85,422.425
Port Josephmouth,5,1455.9,291.18
North Georgefurt,2,434.92,217.46
West Lisachester,3,625.18,208.393333333333
New Jeffreytown,2,589.42,294.71
West Dianatown,2,516.34,258.17
Hamiltonfort,3,775.01,258.336666666667
Craighaven,1,266.38,266.38
Miguelberg,2,190.42,95.21
Helenstad,1,225.9,225.9
Ryanstad,5,1317.69,263.538
North Susanmouth,2,317.58,158.79
Joanville,1,79.98,79.98
Michellestad,4,668.4,167.1
